utc_timestamp,cet_cest_timestamp,DK_load_actual_entsoe_transparency,DK_load_forecast_entsoe_transparency
2018-12-31T23:00:00Z,2019-01-01T00:00:00+0100,3260.3,3216
2019-01-01T00:00:00Z,2019-01-01T01:00:00+0100,3186.04,3139.5
2019-01-01T01:00:00Z,2019-01-01T02:00:00+0100,3070.07,3050.9
2019-01-01T02:00:00Z,2019-01-01T03:00:00+0100,2966.19,2950.9
2019-01-01T03:00:00Z,2019-01-01T04:00:00+0100,2933.48,2895.7
2019-01-01T04:00:00Z,2019-01-01T05:00:00+0100,2940.64,2913.9
2019-01-01T05:00:00Z,2019-01-01T06:00:00+0100,3035.76,2958.5
2019-01-01T06:00:00Z,2019-01-01T07:00:00+0100,3100.51,3021.6
2019-01-01T07:00:00Z,2019-01-01T08:00:00+0100,3208.1,3185.4
2019-01-01T08:00:00Z,2019-01-01T09:00:00+0100,3337.19,3344
2019-01-01T09:00:00Z,2019-01-01T10:00:00+0100,3530.81,3548.5
2019-01-01T10:00:00Z,2019-01-01T11:00:00+0100,3679.1,3700.9
2019-01-01T11:00:00Z,2019-01-01T12:00:00+0100,3746.84,3763.6
2019-01-01T12:00:00Z,2019-01-01T13:00:00+0100,3761.13,3765.9
2019-01-01T13:00:00Z,2019-01-01T14:00:00+0100,3800.54,3843.4
2019-01-01T14:00:00Z,2019-01-01T15:00:00+0100,3760.58,3852.2
2019-01-01T15:00:00Z,2019-01-01T16:00:00+0100,4202.2,4080.4
2019-01-01T16:00:00Z,2019-01-01T17:00:00+0100,4384.13,4464.8
2019-01-01T17:00:00Z,2019-01-01T18:00:00+0100,4360.38,4307.9
2019-01-01T18:00:00Z,2019-01-01T19:00:00+0100,4137.21,4104.6
2019-01-01T19:00:00Z,2019-01-01T20:00:00+0100,3944.49,3888.5
2019-01-01T20:00:00Z,2019-01-01T21:00:00+0100,3671.11,3705.3
2019-01-01T21:00:00Z,2019-01-01T22:00:00+0100,3454.36,3480.9
2019-01-01T22:00:00Z,2019-01-01T23:00:00+0100,3208.53,3325.9
2019-01-01T23:00:00Z,2019-01-02T00:00:00+0100,3028.11,3071.7
2019-01-02T00:00:00Z,2019-01-02T01:00:00+0100,2946.07,2944.5
2019-01-02T01:00:00Z,2019-01-02T02:00:00+0100,2889.81,2919.3
2019-01-02T02:00:00Z,2019-01-02T03:00:00+0100,2921.59,2950.8
2019-01-02T03:00:00Z,2019-01-02T04:00:00+0100,3006.97,3083.7
2019-01-02T04:00:00Z,2019-01-02T05:00:00+0100,3209.86,3267.8
2019-01-02T05:00:00Z,2019-01-02T06:00:00+0100,3743.37,3826.1
2019-01-02T06:00:00Z,2019-01-02T07:00:00+0100,4305.69,4409.8
2019-01-02T07:00:00Z,2019-01-02T08:00:00+0100,4626.48,4605.2
2019-01-02T08:00:00Z,2019-01-02T09:00:00+0100,4738.52,4737.2
2019-01-02T09:00:00Z,2019-01-02T10:00:00+0100,4721.57,4795.5
2019-01-02T10:00:00Z,2019-01-02T11:00:00+0100,4722.6,4746.9
2019-01-02T11:00:00Z,2019-01-02T12:00:00+0100,4621.2,4668.3
2019-01-02T12:00:00Z,2019-01-02T13:00:00+0100,4622.98,4593.9
2019-01-02T13:00:00Z,2019-01-02T14:00:00+0100,4555.68,4572
2019-01-02T14:00:00Z,2019-01-02T15:00:00+0100,4517.9,4514.7
2019-01-02T15:00:00Z,2019-01-02T16:00:00+0100,4764.5,4818
2019-01-02T16:00:00Z,2019-01-02T17:00:00+0100,5226.79,5166.9
2019-01-02T17:00:00Z,2019-01-02T18:00:00+0100,5081.76,5005.5
2019-01-02T18:00:00Z,2019-01-02T19:00:00+0100,4744.07,4680.2
2019-01-02T19:00:00Z,2019-01-02T20:00:00+0100,4410.61,4329.3
2019-01-02T20:00:00Z,2019-01-02T21:00:00+0100,4120.74,4058.6
2019-01-02T21:00:00Z,2019-01-02T22:00:00+0100,3811,3758.3
2019-01-02T22:00:00Z,2019-01-02T23:00:00+0100,3527.71,3493.7
2019-01-02T23:00:00Z,2019-01-03T00:00:00+0100,3361.87,3312.6
2019-01-03T00:00:00Z,2019-01-03T01:00:00+0100,3234.73,3188.2
2019-01-03T01:00:00Z,2019-01-03T02:00:00+0100,3198.97,3183.6
2019-01-03T02:00:00Z,2019-01-03T03:00:00+0100,3238.15,3223.9
