station,date,time,prec,surfwet,glorad,metp,megrtp,mesotp10,mesotp30,meanrh,meanwd,meanwv,wd2,wv2,pres,netrad,heatflux
6069,01/01/2023,0,1.2,0,0,4.7,4.5,5.5,5.6,94,65.4,0.2,65.4,0.7,990.6,-5.9,-1.5
6069,01/01/2023,1,1.3,0,0,4.7,4.6,5.4,5.6,94,96.4,1.6,96.4,1.2,990.1,-5.6,-1.6
6069,01/01/2023,2,2.6,0,0,4.7,4.5,5.4,5.6,94,125.5,1.2,125.5,0.7,990.3,-5.3,-1.7
6069,01/01/2023,3,0.8,0,0.1,4.7,4.6,5.4,5.6,94,79.6,1.9,79.6,1.3,989.8,-5.5,-1.9
6069,01/01/2023,4,0.3,0,0,4.6,4.5,5.4,5.6,94,63.4,1.5,63.4,1,990.2,-5.4,-1.9
6069,01/01/2023,5,0.1,0,0,4.3,4.2,5.4,5.6,94,58.3,2.5,58.3,1.8,990.4,-5.5,-1.7
6069,01/01/2023,6,0.1,0,0.1,4.3,4.2,5.4,5.6,94,87.7,2.6,87.7,1.8,990.7,-5.6,-1.7
6069,01/01/2023,7,0.1,0,0.1,4.4,4.3,5.4,5.6,94,89.4,2.7,89.4,1.9,990.6,-5.8,-1.7
6069,01/01/2023,8,0.3,0,0.2,4.5,4.4,5.4,5.6,94,91.6,3.1,91.6,2.2,991,-5.5,-1.7
6069,01/01/2023,9,0.8,0,4,4.6,4.5,5.4,5.6,94,113.2,3.6,113.2,2.6,991.1,-1.5,-1.7
6069,01/01/2023,10,1,0,16.4,5.3,5.3,5.4,5.6,94,135.6,1.2,135.6,0.9,991.9,7.1,-1.7
6069,01/01/2023,11,0.4,0,32.8,7.7,7.4,5.4,5.6,94.1,242.9,4.6,242.9,3.5,992.8,9.2,-1.3
6069,01/01/2023,12,0,0,62.1,8.6,8,5.4,5.6,93.8,246,5.9,246,4.7,993.9,18.9,-0.1
6069,01/01/2023,13,0,0,58.1,8.5,8,5.5,5.6,91.6,235.8,5.4,235.8,4.2,994.6,21.7,1.6
6069,01/01/2023,14,0,0,27.7,8.5,8,5.5,5.6,88.2,239.8,6.5,239.8,5.2,995.5,-3.9,2.8
6069,01/01/2023,15,0,0,11,8.3,7.8,5.6,5.6,85.4,237.3,6.3,237.3,5,996.2,-56,3.4
6069,01/01/2023,16,0,0,0,7.9,7.3,5.7,5.6,86.1,227.8,4.7,227.8,3.7,997.1,-62.7,3.2
