"TOA5","CR1000XSeries","CR1000X","29994","CR1000X.Std.06.01","CPU:CCSL023911_v1.02.CR1X","10438","Table1"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","Gust3s_Max"
"TS","RN","meters/second","Deg",""
"","","WVc","WVc","Max"
"2026-01-30 18:50:00",243085,5.819,89.2,9.31
"2026-01-30 18:55:00",243086,6.182,88.1,9.44
"2026-01-30 19:00:00",243087,5.155,85.3,9.02
"2026-01-30 19:05:00",243088,5.646,86.9,8.92
"2026-01-30 19:10:00",243089,4.384,85.1,7.415
"2026-01-30 19:15:00",243090,5.329,85.3,9.34
"2026-01-30 19:20:00",243091,5.079,92.3,9.02
"2026-01-30 19:25:00",243092,5.394,87.3,9.47
"2026-01-30 19:30:00",243093,5.084,89.2,8.13
"2026-01-30 19:35:00",243094,5.677,87.5,9.28
"2026-01-30 19:40:00",243095,4.955,88.5,7.84
"2026-01-30 19:45:00",243096,5.176,89.6,8.07
"2026-01-30 19:50:00",243097,6.034,90.7,11.07
"2026-01-30 19:55:00",243098,5.052,88.7,8.49
"2026-01-30 20:00:00",243099,6.564,92.8,10.98
"2026-01-30 20:05:00",243100,5.212,91.7,9.05
"2026-01-30 20:10:00",243101,6.064,96.6,10
"2026-01-30 20:15:00",243102,5.444,94.2,8.59
"2026-01-30 20:20:00",243103,5.652,94.3,8.46
"2026-01-30 20:25:00",243104,5.808,92.6,11.2
"2026-01-30 20:30:00",243105,5.893,89.2,10.45
"2026-01-30 20:35:00",243106,5.58,87.2,8.66
"2026-01-30 20:40:00",243107,4.893,92.5,7.677
"2026-01-30 20:45:00",243108,6.154,90.1,9.9
"2026-01-30 20:50:00",243109,4.822,90.3,7.938
"2026-01-30 20:55:00",243110,6.339,92,9.7
"2026-01-30 21:00:00",243111,5.462,87.4,9.02
"2026-01-30 21:05:00",243112,5.186,90.2,8.79
"2026-01-30 21:10:00",243113,5.555,86.4,9.24
"2026-01-30 21:15:00",243114,4.985,91.6,9.87
"2026-01-30 21:20:00",243115,4.755,91.7,7.807
"2026-01-30 21:25:00",243116,5.072,90.6,8.66
"2026-01-30 21:30:00",243117,5.979,91.8,9.83
"2026-01-30 21:35:00",243118,5.037,88.6,8.07
"2026-01-30 21:40:00",243119,4.766,87.2,7.742
"2026-01-30 21:45:00",243120,5.268,88.1,8.04
"2026-01-30 21:50:00",243121,4.59,86.5,7.219
"2026-01-30 21:55:00",243122,4.907,85.1,8.43
"2026-01-30 22:00:00",243123,4.853,83.9,8.2
"2026-01-30 22:05:00",243124,4.791,88.8,8.2
"2026-01-30 22:10:00",243125,4.907,86,8.23
"2026-01-30 22:15:00",243126,4.423,89,7.121
"2026-01-30 22:20:00",243127,4.514,89.7,7.481
"2026-01-30 22:25:00",243128,4.804,86.7,8.33
"2026-01-30 22:30:00",243129,4.574,85.3,7.807
"2026-01-30 22:35:00",243130,5.481,87.2,9.11
"2026-01-30 22:40:00",243131,4.429,85.2,7.873
"2026-01-30 22:45:00",243132,4.043,82.6,8.66
"2026-01-30 22:50:00",243133,4.353,88.6,7.579
"2026-01-30 22:55:00",243134,4.644,88,9.02
"2026-01-30 23:00:00",243135,5.081,89.8,8.49
"2026-01-30 23:05:00",243136,4.675,89.8,7.187
"2026-01-30 23:10:00",243137,4.803,91.3,8.07
"2026-01-30 23:15:00",243138,4.755,89.3,6.827
"2026-01-30 23:20:00",243139,5.101,83.7,9.02
"2026-01-30 23:25:00",243140,5.35,84.9,8.69
"2026-01-30 23:30:00",243141,4.488,87.7,8.26
"2026-01-30 23:35:00",243142,4.912,84.4,8.56
